Comentário,notaPositiva,notaNegativa,Sentimento
Falou bonito galera do Partido Novo!!! E só o presidente Bolsonaro que tem peito para mudar o país!! E abrir caminho para novos políticos tal qual o Zema e o Amoedo disputarem a eleicao e dependendo do trabalho deles também serem eleitos. Esquerditas malandros nunca mais!!,2,-3,negativo
Previdência portuguesa está quebrada,1,-2,negativo
EUA ??,1,-1,neutro
Bando de bandidos,1,-2,negativo
💩💩 essa reforma e isso... Quem vai pagar é quem não tem nada haver com a bagunça financeira de porcaria de país....,1,-3,negativo
E injusta....ela devia ser desvinculada do tesouro nacional.....a reforma tributária também vai ser uma 💩....privilegiando os mais ricos....,2,-2,neutro
Reforma sim,1,-1,neutro
Babão....deve ter recebido muito....,1,-2,negativo
So ladrao cuidado,3,-1,positivo
Circo está armado,1,-1,neutro
"Estão eufóricos, com o $$ que virá a partir das emendas parlamentares",1,-2,negativo
Vao roubar o resto e aumentar a fome no pais bandidos por isso que o pcc esta em auta,1,-2,negativo
Não  sou a favor mas já q aprovou tomara q seja útil,2,-1,positivo
Só ladrão vão fuder com os mais pobres,1,-3,negativo
Alguém  aí sabe como votou os deputados da Paraíba,1,-1,neutro
Valeu pela coragem senhores deputados!,2,-1,positivo
Mexe nos altos salários senhores deputados!!! Agora mexer com quem ganha 1 salário mínino....isso e sangar o pobre que Não meteu a mão em nada.... Lamentável,1,-3,negativo
Foi aprovado,1,-1,neutro
Huuuuuuuuuu,2,-1,positivo
Eita situação difícil essa de hoje,1,-2,negativo
Parabéns Dep. Giovani Cherini PL -RS.,1,-2,negativo
Capim agora não vai faltar,1,-2,negativo
"Eita que agora vai ter mato pra comer!! Eee ooooo vida de gado, povo abestado eee povo infeliz!",2,-3,negativo
Estão se lixando para os professores!!!,1,-2,negativo
Nojo  viu!,1,-1,neutro
E o povo só vai sentir quando não tiver o que comer,2,-1,positivo
É isso,1,-1,neutro
Tristeza,1,-3,negativo
Oremos,1,-1,neutro
"parabéns deputado José Nelto, confesso que fiquei surpreso pelo seu voto.",1,-1,neutro
Vira casaca,1,-1,neutro
Ganhou bem para votar,2,-1,positivo
