Comentário,notaPositiva,notaNegativa,Sentimento
"Pais devem educar seus filhos sobre o respeito às diferenças. Escola deve dar continuidade, pois o bullying deve sim ser trabalhado, nada justifica sobre o caso ocorrido, mas devemos estar atentos e sabermos lidar com as devidas situações.",3,-2,positivo
E quando o bullying vem das próprias professoras? Acabei trancando meus estudos no último ano por causa de duas professoras. Mas nem por isso sai matando todo mundo.,1,-2,negativo
"Sim , mas cada caso é um caso , pessoas são diferentes e bullying tem de vários níveis 
Então é melhor ensinar as pessoas a aceitar as diversidades e as minorias e não acabar com elas",2,-1,positivo
"É muito difícil a criança contar para os pais o que acontece com medo de que os pais o repreendam. E hoje em dia, difícil ver os pais dando atenção aos filhos por causa do trabalho e outros afazeres.",2,-3,negativo
Nao foi por causa do bulling...foi maldade mesmo....70% ou mais das minhas turmas do colegio sofriam bulling...so q todo faziam com todos...ninguem matou ninguem...os dois eram pesssoas ruins mesmo...com maldade...,1,-4,negativo
"O ser humano é cruel. Desde os tempos de minha vó que faleceu ano passado aos 96 anos , já o buling deixava suas marcas, descobri a pouco o apelido que colocaram nela a qual a deixava bastante chateada, ela me contou tantas passagens da época de escola, mas isso não me relatou, acho que tinha vergonha, descobri somente agora , me contaram qye sofreu muito. Imagina!!! Numa pacata cidade do interior. Temos que educar nossas crianças a não colocar apelidos nos colegas, ninguém gosta disso.",3,-4,negativo
nos país devemos ser exemplos para nossos filhos. muitas vezes os pais não tem o conhecimento da vida do filho de como ele vive em meio a sociedade. a escola é o aprendizado para a vida educação começa em casa.,3,-2,positivo
Eu sofria na escola e os professores nunca fizeram nada. Ainda me encaminhavam por SOE.,1,-4,negativo
"Se fosse um menino negro da favela, a gente não estaria discutindo bullying, e sim a redução da maioridade penal e o abate através de snipers muito bem treinados🤔🤔🤔",2,-2,neutro
"Eu também sofri muito bullying , na minha época não existia esse nome, se dizia inticar, a gente reclamava para a professora e ficava por isso mesmo, e na saída da escola eu sempre me defendia. E nem por isso , não matei ninguém e não fiquei com mimimi, porque hoje tem muita liberdade e pouca obrigação e não tem vergonha na cara. Tratam tudo como coitadinhos uns cara com barba na cara.",3,-4,negativo
Socializar a responsabilidade pessoal que cada um dos jovens teve aos assassinar outros não é o ideal.,1,-2,negativo
Educação brasileira nos últimos lugares no planeta esperar o que? Militares já nas escolas.,2,-1,positivo
"Será que a mãe dele foi até a escola conversar com a direção para expor o problema e consequentemente tentar resolver a situação? Acredito que não. Infelizmente a família brasileira,não generalizando, deixou para a escola resolver esse tipo de situação e o resultado está no que o país inteiro viu...",2,-3,negativo
Nos anos 90 nas escolas públicas tinha psicóloga para atender certas situações.,1,-1,neutro
educação por parte dos pais em respeito ao próximo...coisas que as crianças escutam e seguem exemplo dos pais...por isso também não há mais respeito ao professor.,3,-2,positivo
