created_time,from,message,id,object_link.connections.comments.message
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,"Pq as pessoas tem plano de saúde? 
É pq elas sabem que o estado é ineficiente e não consegue atender a demanda do SUS. 
O mesmo acontece com a nossa segurança, se sabemos que o estado não dá conta de nos proteger pq nós mesmo não podemos fazer isso tendo o direto ao porte de arma?"
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,"Ok Célio, mas com uma resistência armada o atirador não iria ter feito o tanto de vítimas que fez, a final não tinha ninguém com uma arma para bater de frente com ele."
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,O estatuto do desarmamento não proíbe que escolas tenham segurança armada.
2019-03-13T13:33:29+0000,,"Mais uma vez a lei do desarmamento mostrando ser ineficiente. Se tivesse um segurança armado no colégio poderia ter evitado essa tragédia. 
""Somente um homem bom com uma arma é capaz de parar um homem mau com uma arma""",10159181787214572_10159181790834572,Rogério Silva se tivesse um segurança armado não poderia atirar e talvez o massacre seria ainda maior...enquanto não mudarem as leis e equipar com armas pesadas os policiais que são treinados para isso e desarmar os bandidos e investir em educação e cultura das crianças e adolescentes nunca vai mudar a situação do país. Concordo com muitas armas mas para policiais...não para quem não é treinado e não tem psicológico para isso.
2019-03-13T14:50:05+0000,,pcc,10159181787214572_10159181941029572,null
2019-03-13T14:35:50+0000,,Fátima Alvarez,10159181787214572_10159181902374572,null
2019-03-13T14:35:01+0000,,Que país é esse?,10159181787214572_10159181900209572,null
2019-03-13T14:17:20+0000,,A maior prova que o perigo não é o cidadão de bem armado e sim a facilidade que alguém mau intencionado consegue uma arma em qualquer biqueira,10159181787214572_10159181871314572,null
2019-03-13T14:43:59+0000,,Bolsominions vão sugerir armar professor com fuzil. Pelo menos agora podem ir no condoMinion comprar.,10159181787214572_10159181926854572,null
2019-03-13T14:54:12+0000,,"Atirador? Igual aqueles que praticam o esporte de tiro? Posso associar, então, esses meliantes com os praticantes de esportes, como sendo os mesmos?",10159181787214572_10159181950924572,null
2019-03-13T15:41:54+0000,,E opresso que tão pagando por incentivar matança fora bostanaros,10159181787214572_10159182057444572,null
