created_time,message,id,object_link.connections.comments.message,from
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Sim porque antes disso , isso quase não ocorria.
Tipo chacina da Candelária, massacre de Realengo , chacina de Osasco foram na verdade filmes de ficção.",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Ana Claudia de Camargo a culpa aqui era de quem? Tua?
http://g1.globo.com/Tragedia-em-Realengo/noticia/2011/04/atirador-entra-em-escola-em-realengo-mata-alunos-e-se-suicida.html",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,A quantidade de macho frágil defensor do mito tentando me atingir é grande...vamos lá tropa kkkķkk os arminha com a mão que passa um pouco não suportam uma ideia diferente oh dó!!!,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Taiúva 2003, Realengo 2011, São Caetano do Sul 2011, João Pessoa 2012, Goiânia 2017. Todos em governos petistas e de seu antigo aliado. Antes do Pt assumir o poder e lutar para destruir valores morais e da família eu não me lembro de acontecimentos assim aqui.",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Ana Claudia para pq esse seu fetiche já está ficando estranho,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Na boa VTNC!!!! Tem q7e ser muito FDP pra usar tragédia pra propaganda política. Mas tb esse lixo petista usa mortos pra palanque políticos. Vcs são a escória,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Ana Claudia de Camargo , pior é ouvir dos deputados de esquerda como: Maria do Rosário, Marcelo Freixo, PT, PCdoB e Psol falarem: mas os adolescentes que se mataram e cometeram crime eles não tinham culpa, eles eram vítimas da sociedade.kkkkk",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Ana Claudia de Camargo 65 mil assassinatos por ano é culpa do lula e da Dilma poelr que eram terrorristas?,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,"Gente doente, sem coração para falar em política nessas horas.",
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Verdade Ana Cláudia isso daí é quem acha que tendo arma em casa está protegido com certeza essas armas estavam dentro da própria casa podem até falarem da necessidade de ter armas mais eu creio que as pessoa não tem estrutura pra estar armado,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Angi Morgi é foi Lula que num discurso junto com o Paulo Freire falou em metralhar adversários a Dilma tem foto com monte de miliciano e tudo mais tá loko,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Ahhh tá....a matança no Brasil começou em 2019 c este caso. Os bandidos...ops ..adolescentes inocentes estavam c armas legalizadas.....doseeeeeeee hein,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Você está politizando uma tragédia.Isso ocorre em vários países do mundo porém poderia ser evitado ou minimizado se existisse um sistema de segurança eficiente nas escolas do país. E isso envolve uso de armas por pessoas qualificadas e preparadas psicologicamente e tecnicamente para manuseá-las.,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Pelos comentários vemos como esse povo cultua a violencia. Hipocrizia é foda.,
2019-03-13T14:08:23+0000,Infelizmente a população optou por um projeto de governo ue gosta e cultua a violência e a expansão do uso de armas. Estes são os primeiros reflexos!,3147976375217403_3147997468548627,Quanta ignorância 🤦‍♂️,
