Comentário,notaPositiva,notaNegativa,Sentimento
"ACORDA ALICE! Aprovada reforma da previdência. Confirmado o ataque aos mais pobres. Hoje eu reclamo, amanhã vc vai entender.Um ataque às mulheres, aos professores, aos portadores de necessidades especiais, aos idosos...Uma reforma que não combate a desigualdade social, pelo contrário, fortalece. Eu sei que é difícil convencer eleitores de Jair Bolsonaro. É difícil convencer quem queima revista por revelar crimes de políticos de estimação, quem pede a demissão de técnico por ele não abraçar presidente de estimação, quem defende o desmatamento da Amazônia, quem defende o trabalho infantil, quem concorda que professores e alunos são idiotas úteis etc.Engraçado é ver pobre comemorando a reação do mercado financeiro com a aprovação da reforma. Vamos lá: só duas classes comemoram a aprovação da reforma da previdência: os ricos e os idiotas.Vc é rico?!",3,-3,neutro
Traidores.,1,-3,negativo
"O pior é o povo mais humilde comemorado, daqui a pouco vai estar chorando, quando entender melhor a besteira que fizeram.",2,-4,negativo
ALELUIA 🙏🏻,1,-1,neutro
É nessa etapa que eles mudam a aposentadoria deles como estava na proposta.  😁,1,-2,negativo
"Os pobre brasileiros que votarem nesses amaldiçoados corruptos não importa quem é de pt,ou de diretas ou de esquerda ou psl suco de laranjas, todos vão se fuder na misérias brasileiras, essa reforma previdência.",1,-3,negativo
Patrões...já estar na hora de mostrar pra os funcionarios q vc iludiu o outdo lado da modda kkk,2,-2,neutro
Parabéns,1,-1,neutro
Algue me explica essa reforma..,1,-1,neutro
"Oa caras aplaudiram a pec 95 q congelava investimentos públicos, a ""modernização"" da CLT q colocava grávidas em locais insalubres, o corte na educação, ministro evangélico no STF, desmatamento ambiental e por aí vai... esses gados só podem ser retardados 🤣",1,-3,negativo
Chupaaaaaaa esquerda lixo kkkkk,2,-2,neutro
Mudem o nome da previdência pois de social não sobrou absolutamente nada.,1,-2,negativo
Foram 2 bilhões para 379 ladrões e seus comparsas se darem bem.,2,-2,neutro
"Quem acha que consegue trabalhar 40 anos no setor privado para receber 100% de aposentadoria parabéns.  Uma conta simples, se a pessoa começa a trabalhar com 18 anos ela teria que trabalhar até os 58 anos para receber 100% da aposentadoria, isso se ela não ficar 1 mês se quer desempregada. É impressionante como essa crueldade foi aprovada o trabalhador comum morre e não se aposenta, lamentável.",2,-3,negativo
"Pior coisa que poderia acontecer com o Brasil.  Triste 😢 Reforma tem que começar de cima, acabando com os privilégio e cobrando as dívidas das grandes empresas.  Não pode começar por baixo.",3,-3,neutro
"Por isso que não investem na educação, quanto mais o povo sem conhecimento melhor para eles manipularem a sociedade. Pobre trabalhador aplaudir essa reforma é mais coisa de dar um tiro na própria cabeça.",2,-2,neutro
Lamento muito,1,-3,negativo
#AchoOtimoOsComentarios,1,-1,neutro
Vamos  comemorar  como idiotas.,1,-2,negativo
E nosso mito,1,-1,neutro
