Comentário,notaPositiva,notaNegativa,Sentimento
"Resultado de uma geração sem limites, que não obedece, que dita às ordens aos pais e responsáveis e que não pode pegar uma palmada pq as leis os protegem... Geração que não pode ser reprimida pq fica depressiva e quer logo se matar e fazer o mal para o próximo... É tanto mimimimi. Pensando bem: quanto mais conheço o ser humano; mais eu gosto dos animais irracionais.",3,-3,neutro
"Pessoal colocando culpa em jogos é ridículo. Tem evangélicos e católicos que matam suas esposas por exemplo, e ai,a culpa é de deus? Não!
A culpa neste caso trágico foi a negligência que ocorre até hoje dos pais em relação a saúde mental dos seus filhos,a omissão das escolas em nunca tratar casos de bullying como um assunto sério, e culpa de toda a sociedade por também negligenciar a saúde mental dos jovens,como se isso não tivesse importância.",2,-3,negativo
"Mostra a cara dessas imundices, quer fazer o mal invade uma penitenciária e se mata com os vagabundos quê tem dentro , e não invadir uma escola covardes imundos..",1,-3,negativo
É só fazer arminha com as mãos... Esse é o Brasil acima de tudo infelizmente. Lamentável,1,-4,negativo
As publicações de vocês são muito BAITCLICK.,1,-1,neutro
"Vcs que apoiam a liberação das armas,vão se foderem😁😂",1,-3,negativo
E é daí pra pior com esse presidente!,1,-3,negativo
Parem de meter política no meio disso seus bandos de doentes.,1,-2,negativo
“Adolescentes” nada! Dois bandidos em fulga.,1,-2,negativo
"Realmente a questão de posse ou porte de arma no Brasil é um caso a pensar, mediante a tantas mentes oprimidas e doentes, q tem se revelado com o passar dos dias nesse país! Não esquecendo q mentes doentes e oprimidas não se limitam tão somente à uma arma de fogo, mas tbm a machado, faca, material esplosivo e tdo o mais q cause morte. Triste isso😢!
#OremosPeloNossoBrasil!",2,-4,negativo
Dois covardes!,1,-2,negativo
Isso que da ficarem romantizado o massacre de Columbine,1,-2,negativo
