Comentário,notaPositiva,notaNegativa,Sentimento
"Um monte abestado comemorando a aprovação do texto - base, SÓ tem um porém,  os ratos do congresso não estão inclusos. Entendeu babaca?",1,-3,negativo
"Pra quem falou que no governo não iria ter toma lá dá cá. Liberou bilhões em emendas,Quem  sofre é  o pobre mesmo.",1,-4,negativo
"Meu Deus,intercedei por nós!!!",1,-1,neutro
Só políticos corruptos.,1,-2,negativo
Pobre comemorando a reforma da previdência é uma aberração 🤦 espero que os mesmos tenham bastante dinheiro guardado...,2,-2,neutro
Eira que é muito choro. Kkkkk,2,-4,negativo
"Então, fazer o quê?",1,-1,neutro
Canalhas!!!!!,1,-2,negativo
"Quem gostou disso só pode ser masoquista... Pq os políticos que foram a favor, já estão aposentado há muito tempo... E vc pobre de direita... Vai trabalhar como um desgraçado pra conseguir se aposentar",3,-3,neutro
"Acredito que esses que aplaudem essa reforma no mínimo,. nenhum está incluido nesse novo processo de aposentadoria que acaba de ser aprovada. São todos pertencentes ao topo da pirâmide, pois são os que não foram atigindos pela reforma, vcs tem mais que comemorar, porque nós, da base, trabalhadores acabamos de sofrer uma grande derrota!!!! Que crise é essa??? Acabamos de ouvir o aumento milhonário que, com certeza será aprovado para financiamento das próximas campanhas políticas. Um tapa sem mão na cara do trabalhador que ganha seu sustento honestamente!!",3,-4,negativo
E que se fudeu foi o pobre😔😔 infelizmente a nossa triste realidade 😔 trabalhar anos pra se aposentar com meio salario mínimo😔,1,-4,negativo
Qual foi mesmo o deputado que vc votou?😂😂😂😂😂,1,-1,neutro
"Meu Deeeus, tem gente abastada, banqueira, grande empresária, rentista de grande capital, dando amei pra isso. 😂😂😂😂",3,-1,positivo
"Lamentável isso só vai favorecer os ricos, os pobres vão te que ajuda os ricos a pagarem por suas dívidas",1,-3,negativo
"Bando de ratos, ratos,ratos, ratos",1,-2,negativo
"Faz a arminha né assim que diz? QUEM NUNCA TRABALHOU DITANDO AS REGRAS, parabéns aos envolvidos, sinto muito aos trabalhadores/ eleitores que não votaram nesse verme que vão sofrer juntos. Creio que os que estão comemorando estão muito bem de vida no Greenville pq essa classe não sofre nada.",2,-5,negativo
Pode esperar receber 400 que não vai da nem pra comprar o gás kkk,2,-1,positivo
"Vcs tem que conhecer a unick academy, estou ganhando muito dinheiro",1,-1,neutro
Cadê a oposição? Kkkkkk,2,-2,neutro
Triste o futuro da população brasileira!,3,-3,neutro
Agora o #Brasil vai pra frente 🖐🖑😎🇧🇷,1,-1,neutro
"379 x 40 Milhões de Reais que o País quebrado vai distribuir após a votação, e os idiotas acreditando que as coisas mudaram....",1,-2,negativo
Pro azar dos mortadelas,1,-2,negativo
A um homem bomba pra acabar com esses bandos de ladrões do povo brasileiro. Bandos de urubus é canalhas.,1,-2,negativo
Os vagabundos da esquerda que nem sabe o que é uma carteira assinada... choram...kkkkkkk,2,-4,negativo
MUITO OBRIGADO AOS 131 MUITO OBRIGADO MESMO,2,-1,positivo
TUDO que os PTRALHAS são contra é BOM para o BRASIL!!!!,2,-2,neutro
Dol chateada por da essa notícia rsrsrs,1,-3,negativo
Quero que fiq pior e pior . Quero  que todos políticos ganhe um salário de 50 mil por Quinzena.  . O povo nao tem poder quem tem poder aqui na terra é eles . O povo tem q aceitar e pronto. Não vejo o povo ir pra rua em massa e protestar ficar so resmungando atrás de um computador ou celular.  Então q eles aprovarem ta feito.  Simplesmente isso.  Temos é q se lascar mesmo.,3,-4,negativo
Imagina quem vai pagar pelos milhões gastos p pagar votos a favor 🙄,2,-2,neutro
Agora vai começar os conflitos.,1,-2,negativo
"Sai o ""toma lá dá cá."" Entra o ""dá que eu te dou outra.""Grande dia.Esse é #BolsonaroNossoPresidente2022 e #SuperMoro2026👉👉😎🇧🇷",3,-1,positivo
"Com compra de votos,infelizmente teve esse resultado que vai lascar com o povo trabalhador.",1,-3,negativo
"Lamentável o que está acontecendo,essa reforma é a volta da ESCRAVIDÃO,agora legalizada.Vergonhosa REFORMA DA PREVIDÊNCIA!!!",1,-3,negativo
Paraenses que votaram a favor não tem meu voto...#FicaDica,2,-1,positivo
"Venha para Hapvida você também! PLANO de saúde+odonto, à partir de R$109, 87.  Consulte sua idade Whatsapp 📲 989520573Corretora autorizada ✅",1,-2,negativo
Bando de canalhas!!! E o povo idiota ainda aplaude!!! Tem que ser muito idiota pra aplaudir uma deforma que vai acabar com a previdência social!!!,1,-2,negativo
Eita que tem pobre comemorando kkk,2,-2,neutro
Missericordia,1,-1,neutro
"Foi de lavada, grande dia! 👍🏻",3,-1,positivo
Gracias,1,-1,neutro
Só ladeira abaixo...😔,1,-1,neutro
Bacana,1,-1,neutro
Deus por nós!,1,-1,neutro
So vim porque sou super fã,3,-1,positivo
O céu não está em crise. Deus proverá.,2,-2,neutro
